Word,Score
.,1147.5951283588315
",",862.6564977709313
:,163.92791909426296
?,158.37147098457925
“,152.1430062866867
”,151.185138449167
‘,149.69263552686314
palestine’s,143.0329533192515
gaza’s,143.0329533192515
world’s,143.0329533192515
what’s,143.0329533192515
iran’s,143.0329533192515
yemen’s,143.0329533192515
jazeera’s,143.0329533192515
lebanon’s,143.0329533192515
africa’s,143.0329533192515
biden’s,143.0329533192515
israel’s,143.0329533192515
it’s,143.0329533192515
netanyahu’s,143.0329533192515
un’s,143.0329533192515
here’s,143.0329533192515
is­rael’s,143.0329533192515
’,143.0329533192515
city’s,143.0329533192515
he’s,143.0329533192515
–,140.3470646382814
),115.14807708037601
(,115.14807708037601
7,64.81445291978346
1948,56.76276760462611
$,46.86806692984894
2024,33.63459759637272
13,27.74261679040621
15,26.736104145915572
24,22.478105582574802
25,21.962218500269472
al-aqsa,16.07957503465018
pro-palestine,16.07957503465018
pro-palestinian,16.07957503465018
al-shifa,16.07957503465018
el-balah,16.07957503465018
al-fitr,16.07957503465018
all-out,16.07957503465018
anti-war,16.07957503465018
pro-israel,16.07957503465018
israel-palestine,16.07957503465018
anti-gaza,16.07957503465018
30,11.81223913096219
200,11.156492013797918
remains,0.0
election,0.0
fire,0.0
workers,0.0
massacre,0.0
repeatedly,0.0
humanitarian,0.0
voters,0.0
africa,0.0
accused,0.0
south,0.0
attacking,0.0
clashes,0.0
increasing,0.0
following,0.0
seven,0.0
allow,0.0
kitchen,0.0
issues,0.0
another,0.0
becoming,0.0
cannot,0.0
wednesday,0.0
call,0.0
tells,0.0
bombing,0.0
taken,0.0
israelis,0.0
rally,0.0
jerusalem,0.0
increased,0.0
efforts,0.0
held,0.0
bomb,0.0
criticised,0.0
stance,0.0
change,0.0
deir,0.0
within,0.0
bring,0.0
analysts,0.0
imminent,0.0
troops,0.0
blinken,0.0
diplomat,0.0
cost,0.0
attempt,0.0
used,0.0
american,0.0
threatens,0.0
help,0.0
night,0.0
tent,0.0
nearby,0.0
ongoing,0.0
iran,0.0
launches,0.0
back,0.0
take,0.0
work,0.0
escalation,0.0
plans,0.0
send,0.0
bombs,0.0
told,0.0
deaths,0.0
social,0.0
warns,0.0
malnutrition,0.0
urges,0.0
crisis,0.0
territory,0.0
deliveries,0.0
october,0.0
man,0.0
west,0.0
bank,0.0
raid,0.0
believe,0.0
besieged,0.0
rejects,0.0
fears,0.0
announcement,0.0
proposal,0.0
made,0.0
make,0.0
took,0.0
side,0.0
heavy,0.0
raids,0.0
plan,0.0
bombardment,0.0
membership,0.0
action,0.0
staff,0.0
claims,0.0
department,0.0
protesters,0.0
filmed,0.0
appears,0.0
dozens,0.0
clear,0.0
encampment,0.0
pepper,0.0
spray,0.0
transfer,0.0
congress,0.0
conditions,0.0
joe,0.0
news,0.0
agency,0.0
new,0.0
comes,0.0
targeted,0.0
houthi,0.0
director,0.0
recognising,0.0
senior,0.0
port,0.0
despite,0.0
suffering,0.0
saw,0.0
face,0.0
system,0.0
show,0.0
global,0.0
outrage,0.0
top,0.0
lawmakers,0.0
others,0.0
refugee,0.0
coast,0.0
risk,0.0
office,0.0
family,0.0
began,0.0
abu,0.0
showed,0.0
temporary,0.0
declared,0.0
statehood,0.0
commander,0.0
norway,0.0
ago,0.0
earlier,0.0
shot,0.0
describes,0.0
soldiers,0.0
visit,0.0
mark,0.0
orders,0.0
seized,0.0
decision,0.0
law,0.0
ordered,0.0
spain,0.0
state,0.0
move,0.0
towards,0.0
route,0.0
peace,0.0
ireland,0.0
risks,0.0
torture,0.0
london,0.0
young,0.0
shut,0.0
nearly,0.0
victims,0.0
antony,0.0
annual,0.0
joined,0.0
qatar,0.0
operations,0.0
los,0.0
angeles,0.0
carrying,0.0
icc,0.0
seeks,0.0
prosecutor,0.0
seek,0.0
cleared,0.0
ukraine,0.0
assistance,0.0
push,0.0
residential,0.0
demonstration,0.0
passed,0.0
arrests,0.0
among,0.0
destroyed,0.0
killings,0.0
occupation,0.0
bombarded,0.0
parties,0.0
accept,0.0
professor,0.0
