Word,Score
1.7,2259.6242466820145
"1,700",2255.698012612341
"576,000",2227.2913165309983
2.7,2169.2789637415826
"37,000",2150.6093252740516
"700,000",2114.2683720108444
"7,000",2114.2683720108444
18-month-old,2069.5209364794896
16-year-old,2055.9400989815867
14-year-old,2050.927303484451
21-year-old,2040.1884551002308
six-month-old,2019.8577570987773
26-year-old,1965.5948160411522
22-year-old,1949.8431721597976
25-year-old,1944.9457574764701
23-year-old,1935.099767761941
32-year-old,1935.099767761941
80-year-old,1924.6576972954688
seven-year-old,1886.2777523110267
1.1,1878.1375899743746
1.8,1813.691189830675
1.4,1798.53115541816
"1,400",1794.6049213484846
"1,200",1783.8660729642654
"21,000",1783.8660729642654
1.5,1782.8948923506134
"1,500",1778.9686582809375
"31,000",1769.1226685664085
"13,000",1769.1226685664085
"34,900",1755.062846729051
"1,000km",1737.530244530835
"34,500",1735.7031769879297
"100,000",1732.7817153032013
"1,000",1732.7817153032013
"10,000",1732.7817153032013
3.8bn,1727.4219489408922
"30,800",1704.6762684227085
"45,000",1699.362223724723
2.2,1697.447024093506
2.5km,1697.2981386378126
"36,000",1694.529029507329
"34,000",1689.5162340101936
"25,000",1688.6233753405033
2.3,1682.7036196956499
"32,000",1678.777385625974
"35,000",1673.8799709426469
"80,000",1668.3353151595013
"800,000",1668.3353151595013
"33,000",1664.0339812281175
"40,000",1653.1752807469868
"20,000",1642.4364323627672
"2,000",1642.4364323627672
"30,000",1627.6930279649107
"300,000",1627.6930279649107
"3,000",1627.6930279649107
co.uk,1609.2365502500672
.,1595.2783087713804
",",1591.3520747017035
"""",1476.2119691908492
roxburgh-barry,1138.8632911819443
c-130,1108.4432699207741
six-week,1104.458253166503
pre-existing,1102.5393289300378
six-month,1098.3947932937585
ultra-orthodox,1098.3947932937585
f-35,1006.8204650371299
40-day,983.2861698503012
ben-gvir,976.966781490418
vice-president,974.0245007570616
bank-based,968.5989151573032
cyber-attacks,968.1988932109
longest-serving,965.7254692607123
non-governmental,962.8958642695436
first-ever,962.8958642695436
anti-government,962.8958642695436
life-saving,960.9769400330783
un-backed,958.9891809598473
iran-backed,958.9891809598473
us-backed,958.9891809598473
iranian-backed,958.9891809598473
self-defence,955.3260029489443
suv-type,955.3177300507408
cross-border,954.2406517322133
much-needed,953.1003915491304
secretary-general,952.4963979577755
goldberg-polin,950.6901494634981
brig-gen,950.6901494634981
uk-based,949.7794687087946
israeli-occupied,949.3794467623915
amir-abdollahian,948.4645380636842
al-balah,948.4645380636842
high-profile,948.234958635305
director-general,947.7478687301415
high-risk,945.4053536441362
us-based,945.0309394811605
re-election,944.9182637389728
counter-protesters,944.9182637389728
de-escalate,944.9182637389728
full-blown,943.1120152446954
egyptian-controlled,942.9993395025075
decision-making,942.9993395025075
large-scale,942.9993395025075
semi-official,941.0804152660422
built-up,940.2824102535266
build-up,940.2824102535266
israeli-controlled,940.1697345113388
close-quarters,940.1697345113388
american-supplied,940.1697345113388
decades-old,940.1697345113388
south-eastern,939.1421500704438
three-part,939.1421500704438
self-determination,938.5381564790888
week-long,938.5381564790888
full-scale,938.2508102748735
north-south,937.8272194253335
two-week,935.7085514879201
jean-pierre,935.7085514879201
densely-populated,935.7085514879201
so-called,935.4212052837047
co-ordinated,935.4212052837047
co-operation,935.4212052837047
co-ordinates,935.4212052837047
far-right,935.3043015975132
right-wing,935.3043015975132
israel-hamas,934.3936208428097
hamas-led,934.3936208428097
south-east,934.3936208428097
north-west,934.3936208428097
south-west,934.3936208428097
co-ordinating,933.5022810472395
al-shifa,932.4746966063445
long-range,931.8707030149895
pro-palestine,930.960022260286
israeli-palestinian,930.960022260286
us-canadian,930.6726760560707
co-ordination,930.6726760560707
al-rashid,929.6450916151757
hamas-run,929.6450916151757
israel-gaza,929.0410980238208
years-long,929.0410980238208
long-term,929.0410980238208
us-funded,929.0410980238208
long-running,927.1221737873556
pro-palestinian,926.211493032652
pre-war,926.211493032652
us-israel,926.211493032652
anti-tank,926.211493032652
pro-israel,926.211493032652
two-state,926.211493032652
no-one,926.211493032652
man-made,926.211493032652
iran-israel,926.211493032652
anti-israel,926.211493032652
us-made,926.211493032652
no-go,924.2925687961867
al-mawasi,921.462963805018
-,921.462963805018
all-out,921.462963805018
muslim-majority,921.462963805018
al-aqsa,921.462963805018
al-awda,921.462963805018
al-najjar,921.462963805018
post-war,921.462963805018
al-sultan,921.462963805018
1967,796.7285521719115
1979,795.4391633483506
08:00,775.6012841720307
09:00,764.1646564330902
:,698.6180437142325
170,664.345937910636
17,664.345937910636
274,635.8238610154851
47,584.7395033544219
27,574.0006549702019
2007,574.0006549702019
75,569.103240286875
57,569.103240286875
37,559.2572505723455
),545.4603676723973
(,545.3878256712665
7th,531.0984251192966
g7,525.7459023003074
700,522.9162973091387
7,522.9162973091387
70,522.9162973091387
1988,360.9427342359506
116,349.695282745413
1948,345.7826998234357
1996,339.3588675816303
2011,333.9436388640578
112,333.9436388640578
113,319.2002344662013
110,282.8592812029946
11,282.8592812029946
196,273.81225486277305
169,273.81225486277305
2018,269.49723872035844
128,269.49723872035844
“,260.8358539571614
2016,259.34999980497895
129,258.060610981418
2019,258.060610981418
1830,254.75383432250192
2014,254.3372043078438
”,251.48907352145105
2021,243.59835592362387
193,243.3172065835615
143,239.59379990998718
251,238.7009412402968
2015,238.7009412402968
18th,226.5950088694529
executive,221.31123863062646
4's,220.08443260653178
81,218.41288105929516
18,218.41288105929516
133,214.11154712791088
313,214.11154712791088
extensive,212.10152637957378
expensive,212.10152637957378
16,208.26564214391556
160,208.26564214391556
explosives,207.3529971519398
explosive,207.3529971519398
19,206.9762533203547
bbc's,205.10983170931814
they've,205.0466498447634
41,203.25284664678043
140,203.25284664678043
14,203.25284664678043
government's,199.69412702577443
exchange,198.46820518623005
exchanges,198.46820518623005
hezbollah's,198.19345785770656
experiences,196.95353084017157
experienced,196.95353084017157
experience,196.95353084017157
we've,196.86452203460573
experiencing,195.03460660370632
2010,192.51399826256056
120,192.51399826256056
21,192.51399826256056
12,192.51399826256056
boxes,192.3176773547252
executed,192.20500161253756
execute,192.20500161253756
exercise,192.20500161253756
existence,192.20500161253756
executioner,192.20500161253756
expected,192.20500161253756
i've,192.1159928069717
university's,192.1159928069717
brother's,190.01133004754882
15,187.61658357923343
150,187.61658357923343
105,187.61658357923343
inbox,187.5691481270912
expect,187.45647238490358
expects,187.45647238490358
excuses,187.45647238490358
expectations,187.45647238490358
except,187.45647238490358
expectation,187.45647238490358
blinken's,186.57773146502512
exhausted,186.4288879440086
exhumed,186.4288879440086
arabic's,186.29038526080978
extended,182.99528936148488
extreme,182.99528936148488
expelled,182.99528936148488
extremely,182.99528936148488
expressed,182.99528936148488
expense,182.99528936148488
explicitly,182.70794315726957
exactly,182.70794315726957
explicit,182.70794315726957
exact,182.70794315726957
complex,182.70794315726957
context,182.70794315726957
lebanon's,181.8292022373911
biden's,181.8292022373911
kirby's,181.8292022373911
exhaust,181.6803587163746
expressing,181.0763651250196
children's,180.4015958500932
extremist,178.24676013385087
expert,178.24676013385087
examine,178.24676013385087
exposed,178.24676013385087
extent,178.24676013385087
example,178.24676013385087
existential,178.24676013385087
annexed,178.24676013385087
examples,178.24676013385087
expression,178.24676013385087
exploded,178.24676013385087
exploited,178.24676013385087
extermination,178.24676013385087
extends,178.24676013385087
express,178.24676013385087
experts,178.24676013385087
expanded,178.24676013385087
explained,178.24676013385087
examined,178.24676013385087
alexander,178.24676013385087
external,178.24676013385087
extremists,178.24676013385087
toxic,177.95941392963556
13,177.77059386470407
31,177.77059386470407
130,177.77059386470407
boy's,177.0806730097571
icc's,176.68065106335416
exploding,176.32783589738563
existing,176.32783589738563
fixed,176.32783589738563
expanding,176.32783589738563
here's,175.9404128266745
they're,175.9404128266745
there's,175.9404128266745
charity's,175.65306662245922
agency's,175.04907303110423
france's,175.04907303110423
fixing,174.40891166092035
hostage's,174.0214885902093
text,173.49823090621686
explosion,173.49823090621686
export,173.49823090621686
next,173.49823090621686
expansion,173.49823090621686
expand,173.49823090621686
explanation,173.49823090621686
extra,173.49823090621686
explain,173.49823090621686
explains,173.49823090621686
extraordinarily,173.49823090621686
mixed,173.49823090621686
examination,173.49823090621686
sexually,173.49823090621686
extraordinary,173.49823090621686
sexual,173.49823090621686
proxies,173.49823090621686
texas,173.49823090621686
exploit,173.49823090621686
exit,173.49823090621686
exports,173.49823090621686
explosions,173.49823090621686
exist,173.49823090621686
approximately,173.49823090621686
week's,172.5068142441508
wck's,172.21946803993552
america's,172.21946803993552
influx,171.57930666975162
oxfam,171.57930666975162
oxford,171.57930666975162
he's,171.19188359904052
other's,171.19188359904052
mother's,171.19188359904052
tehran's,171.19188359904052
netanyahu's,171.19188359904052
africa's,170.30054380347025
washington's,169.27295936257525
rafah's,169.27295936257525
night's,169.27295936257525
anxious,168.74970167858285
axis,168.74970167858285
proxy,168.74970167858285
six,168.74970167858285
x,168.74970167858285
axios,168.74970167858285
maximum,168.74970167858285
?,167.99367950819973
president's,167.75828501651682
we're,167.75828501651682
yemen's,167.75828501651682
wednesday's,167.75828501651682
people's,167.75828501651682
%,167.50559343794112
country's,167.47093881230148
can't,167.47093881230148
court's,167.47093881230148
scotland's,167.47093881230148
city's,167.47093881230148
hour's,166.44335437140649
thursday's,166.44335437140649
that's,166.44335437140649
what's,166.44335437140649
hospital's,166.44335437140649
who's,166.44335437140649
hamas's,166.44335437140649
harm's,166.44335437140649
king's,165.83936078005155
egypt's,165.83936078005155
germany's,165.83936078005155
4630,165.000160850908
2024,163.99192136740947
2240,163.99192136740947
let's,163.00975578888279
tuesday's,163.00975578888279
women's,163.00975578888279
men's,163.00975578888279
minister's,163.00975578888279
sunak's,163.00975578888279
uk's,163.00975578888279
eu's,163.00975578888279
territory's,163.00975578888279
year's,163.00975578888279
ireland's,163.00975578888279
we'll,163.00975578888279
israel's,163.00975578888279
team's,163.00975578888279
friday's,161.09083155241757
idf's,161.09083155241757
gaza's,161.09083155241757
family's,161.09083155241757
group's,161.09083155241757
],160.01007216274198
[,159.83205546663783
245,159.09450668408232
woman's,158.2612265612488
i'm,158.2612265612488
union's,158.2612265612488
syria's,158.2612265612488
world's,158.2612265612488
iran's,158.2612265612488
un's,158.2612265612488
ministry's,158.2612265612488
today's,158.2612265612488
monday's,158.2612265612488
i'd,158.2612265612488
qatar's,158.2612265612488
unrwa's,158.2612265612488
saturday's,158.2612265612488
',158.2612265612488
strip's,158.2612265612488
sunday's,158.2612265612488
administration's,158.2612265612488
party's,158.2612265612488
army's,158.2612265612488
military's,158.2612265612488
russia's,158.2612265612488
i'll,158.2612265612488
0808,153.9664809155956
2022,153.25307298318958
252,148.35565829986248
2025,148.35565829986248
;,147.38559703011404
government’s,143.17280691093546
1,141.4296406014973
100,141.4296406014973
100m,141.4296406014973
10,141.4296406014973
48,138.80644650308085
2023,138.5096685853331
–,134.97122255482105
253,133.61225390200596
69,132.38261426127556
99,131.09322543771458
460,128.65920758770127
64,128.65920758770127
2008,128.067598118861
28,128.067598118861
82,128.067598118861
biden’s,125.30788212255213
children’s,123.88027573525422
85,123.17018343553389
£,122.11947801039987
they’re,119.41909271183555
there’s,119.41909271183555
$,118.31275758321262
26,117.92035920348147
620,117.92035920348147
2006,117.92035920348147
29,116.63097037992047
2009,116.63097037992047
netanyahu’s,114.67056348420154
38,113.32419372100456
240,112.9075637063462
24,112.9075637063462
42,112.9075637063462
bbclondon@bbc,112.40650331060353
we’re,111.23696490167781
can’t,110.9496186974625
