Word,Score
built-up,2582.52658264113
us-funded,2568.446340957024
unsuccessful,2499.7647029038217
unusual,2473.820499377254
co.uk,2419.1190814884735
1.7,2243.4512016052504
"576,000",2209.4244888478197
2.7,2157.4317695156938
"37,000",2132.8811904878758
"700,000",2096.5021186781482
"7,000",2096.5021186781482
14-year-old,2067.6899918158488
21-year-old,2034.737464825745
26-year-old,1958.575777414503
22-year-old,1948.7180327361873
25-year-old,1937.7351939874022
ultra-orthodox,1917.0697456787664
80-year-old,1914.5592114580704
seven-year-old,1877.1269715681879
1.1,1867.6089507513304
1.4,1814.542045651877
1.8,1804.4544295037288
"1,200",1777.6835999442992
"21,000",1777.6835999442992
us-backed,1774.7041564610272
un-backed,1774.7041564610272
1.5,1770.6066799129887
israeli-occupied,1767.9038451677072
full-blown,1767.319080466051
uk-based,1765.5093113453765
full-scale,1762.4336838975953
us-based,1760.7745973353108
american-supplied,1758.7090000520566
close-quarters,1758.7090000520566
"31,000",1757.038939633956
"13,000",1757.038939633956
south-eastern,1754.9032866748757
south-west,1750.1685726648097
south-east,1750.1685726648097
"34,500",1750.0129279057894
us-canadian,1746.4197727467233
long-running,1745.6843254866772
hamas-run,1745.433858654744
us-israel,1744.77944092634
al-sultan,1742.8645262014757
all-out,1742.8645262014757
us-made,1741.9596416411384
"100,000",1720.6598678242285
"1,000",1720.6598678242285
"10,000",1720.6598678242285
3.8bn,1716.6052927980006
"34,000",1703.972034534503
unequivocally,1699.8899328094992
2.2,1695.5700865722174
"30,800",1693.8844183863544
vacuum,1689.5156202290302
2.5km,1689.3219618334983
suburb,1684.9637114497127
"36,000",1680.8772522227143
"25,000",1680.6813291059582
subsequently,1678.4379830608732
beautiful,1676.523068336009
successful,1676.097802873138
subsequent,1675.6181837756717
2.3,1674.9254262618736
undoubtedly,1673.7032690508074
"32,000",1671.0195075443996
substitute,1670.883469765606
bureau,1670.883469765606
unaccounted,1670.4582043027349
throughout,1666.5714613939122
roundabout,1666.1487557555402
infrastructure,1664.0831584722857
culture,1664.0831584722857
cultural,1662.1682437474215
structure,1661.2633591870842
unauthorised,1660.2774450951051
"35,000",1660.0366687956146
cautiously,1659.34844446222
unfortunately,1657.7081126418368
simultaneously,1657.7081126418368
"80,000",1657.5053465766268
"800,000",1657.5053465766268
uninterrupted,1656.8032280814996
queue,1656.8032280814996
suspicious,1656.5286451770185
unlawful,1655.7931979169723
outrageous,1654.888313356635
furniture,1654.888313356635
unfounded,1654.888313356635
underground,1654.888313356635
future,1654.888313356635
usually,1652.9733986317708
pursue,1652.0685140714336
surrounded,1652.0685140714336
numerous,1652.0685140714336
"33,000",1650.3748472340562
surrounding,1650.1535993465693
furious,1650.1535993465693
pursuing,1650.1535993465693
usual,1650.1535993465693
mutual,1650.1535993465693
"3,000",1613.9957754243283
"300,000",1613.9957754243283
"30,000",1613.9957754243283
.,1581.5226223320751
",",1577.6167036146007
six-week,1096.5782573694078
pre-existing,1094.6633426445435
executive,1048.8689499673653
executioner,1015.8819749153531
executed,1015.8819749153531
execute,1015.8819749153531
excuse,1011.1472609052872
40-day,1003.5342867105637
sexually,1002.8573003499738
sexual,1000.0375010647723
f-35,998.7977920666041
influx,998.1225863399079
maximum,992.4829877695049
anxious,992.4829877695049
ben-gvir,972.91447164184
vice-president,969.9439897982486
longest-serving,964.4738285281366
non-governmental,961.654029242935
bank-based,960.657367008865
life-saving,959.7391145180708
anti-government,958.8342299577336
iran-backed,951.0372564303434
iranian-backed,951.0372564303434
self-defence,950.1511266119072
goldberg-polin,948.386894445433
secretary-general,947.3313273267057
cross-border,946.3025424202775
amir-abdollahian,946.2215128886355
al-balah,946.2215128886355
high-profile,943.1700015134019
director-general,942.5966133166398
large-scale,940.6816985917754
israeli-controlled,940.6816985917754
egyptian-controlled,940.6816985917754
de-escalate,939.7768140314383
re-election,939.7768140314383
high-risk,937.5304029429989
self-determination,933.4017682009892
week-long,933.4017682009892
so-called,933.1271852965082
three-part,931.2363866441917
hamas-led,929.3214719193275
israel-hamas,929.3214719193275
israeli-palestinian,928.6670541909233
jean-pierre,927.7621696305862
two-week,927.7621696305862
co-ordinated,927.4875867261052
co-ordinate,927.4875867261052
co-operation,927.4875867261052
al-shifa,927.4065571944631
right-wing,927.4065571944631
far-right,927.4065571944631
long-range,926.752139466059
north-west,926.501672634126
pro-palestine,925.8472549057218
co-ordinating,925.5726720012408
al-rashid,924.5867579092616
years-long,923.9323401808575
israel-gaza,923.9323401808575
long-term,923.9323401808575
co-ordination,922.7528727160393
pro-israel,921.112540895656
anti-israel,921.112540895656
pro-palestinian,921.112540895656
iran-israel,921.112540895656
man-made,918.2927416104545
anti-tank,918.2927416104545
two-state,918.2927416104545
pre-war,918.2927416104545
no-one,918.2927416104545
al-mawasi,916.3778268855901
al-awda,916.3778268855901
no-go,916.3778268855901
al-najjar,916.3778268855901
al-aqsa,916.3778268855901
al-assad,916.3778268855901
-,913.5580276003886
post-war,913.5580276003886
uninvolved,897.1953634299749
survive,894.3755641447734
survived,894.3755641447734
survival,892.460649419909
surviving,892.460649419909
vulnerable,890.5778573674027
survivor,889.6408501347075
behaviour,888.4124758106053
equivalence,882.8726615137455
surveillance,880.9577467888812
obviously,878.2886300620695
obvious,875.468830776868
uncovered,875.3181482184781
destructive,875.3181482184781
evacuate,875.3181482184781
evacuated,875.3181482184781
unbearable,873.5860387243617
evacuating,873.4032334936138
unacceptable,873.1607732614908
eventually,871.7629016732305
breakthrough,871.1889450775325
evacuation,870.5834342084123
haveyoursay,869.5975201164331
volunteer,868.9431023880289
unveiled,868.9431023880289
equivalent,868.9431023880289
rubble,868.851324714296
accountable,868.426059251425
ghebreyesus,867.7147280639268
neighbourhood,866.4542310674666
venue,866.1233031028274
manoeuvre,866.1233031028274
kibbutz,866.0315254290945
northeastandcumbria,864.6203458742443
value,864.2083883779632
favourite,864.2083883779632
volume,864.2083883779632
previously,864.2083883779632
revolutionary,864.2083883779632
revolution,864.2083883779632
accountability,863.6913452413592
sullivan,862.2934736530988
virtually,862.2934736530988
university,861.3885890927617
eurovision,861.3885890927617
supportive,861.3885890927617
supernova,861.3885890927617
previous,861.3885890927617
subjected,861.1461288606387
neighbouring,861.0650993289967
individual,859.4736743678973
visual,859.4736743678973
favour,859.4736743678973
ambulance,859.2312141357744
republic,859.2312141357744
republican,859.2312141357744
background,859.2312141357744
church,858.4744523093281
published,858.2453000437952
neighbour,858.2453000437952
publicly,857.31629941091
rebuke,856.6859977550539
uavs,856.6538750826958
various,856.6538750826958
disturbance,856.4114148505729
substance,856.4114148505729
contributed,856.4114148505729
abducted,856.4114148505729
subject,856.4114148505729
abdullah,856.3303853189308
consequence,856.2607322921828
circumstance,855.9861493877017
chuck,855.0002352957225
club,854.4965001257085
columbia,854.4965001257085
publication,854.4965001257085
public,854.4965001257085
publish,853.5105860337293
brought,853.5105860337293
abdulrahman,853.5105860337293
scheduled,853.3599034753393
belgium,852.8561683053252
plausible,852.8561683053252
unimaginable,852.8561683053252
bullet,852.8561683053252
umbrella,852.8561683053252
absolutely,852.8561683053252
bulldozer,852.8561683053252
calculated,852.4309028424541
businessmen,851.951283744988
unprecedented,851.800601186598
succeed,851.5260182821169
colleague,850.7905710220708
peacefully,850.7905710220708
harbour,850.6907867485278
husband,850.6907867485278
suitable,850.0363690201237
trouble,850.0363690201237
unable,850.0363690201237
sustainable,850.0363690201237
rebuild,850.0363690201237
begun,850.0363690201237
absolute,850.0363690201237
february,850.0363690201237
bulk,850.0363690201237
double,850.0363690201237
blue,850.0363690201237
circulated,849.6111035572526
concluded,849.6111035572526
launched,848.6251894652734
building,848.1214542952594
influence,847.9707717368693
respectful,847.9707717368692
peaceful,847.9707717368692
calculation,847.6961888323882
miscalculation,847.6961888323882
submitted,847.2165697349222
number,847.2165697349222
tribute,847.2165697349222
abuse,847.2165697349222
burned,847.2165697349222
beirut,847.2165697349222
bedouin,847.2165697349222
distribute,847.2165697349222
budapest,847.2165697349222
business,847.2165697349222
distributed,847.2165697349222
buried,847.2165697349222
abused,847.2165697349222
attributed,847.2165697349222
encountered,847.0658871765321
occupied,846.7913042720511
reconstruction,846.7913042720511
accused,846.7913042720511
communicated,846.7913042720511
occurred,846.7913042720511
accuses,846.7913042720511
successor,846.7913042720511
success,846.7913042720511
conducted,846.7913042720511
constructed,846.7913042720511
accurate,846.7913042720511
launching,846.710274740409
sufficiently,846.0558570120049
carefully,846.0558570120049
