Word,Index
call,0
gaza,1
ceasefire,2
",",3
release,4
captives,5
address,6
says,7
go,8
facing,9
children,10
‘,11
’,12
.,13
calls,14
immediate,15
israeli,16
marking,17
sunday,18
day,19
biden,20
still,21
us,22
president,23
israel,24
could,25
resolution,26
administration,27
allowed,28
un,29
security,30
council,31
pass,32
united,33
states,34
order,35
prime,36
minister,37
put,38
end,39
“,40
”,41
lebanon,42
political,43
israel’s,44
invasion,45
air,46
strikes,47
continue,48
across,49
truce,50
talks,51
struggle,52
kill,53
palestinians,54
pm,55
netanyahu,56
faces,57
pressure,58
military,59
launched,60
strip,61
deadly,62
officials,63
latest,64
deal,65
hostilities,66
exchange,67
prisoners,68
police,69
pro-palestinian,70
students,71
university,72
hunger,73
strike,74
leave,75
campus,76
without,77
entered,78
(,79
),80
student,81
activists,82
occupied,83
protest,84
war,85
mass,86
graves,87
found,88
southern,89
hospital,90
forces,91
say,92
hundreds,93
bodies,94
nasser,95
medical,96
complex,97
city,98
khan,99
younis,100
recent,101
area,102
nan,103
:,104
list,105
key,106
events,107
nations,108
chief,109
campaign,110
relentless,111
death,112
destruction,113
here’s,114
things,115
stand,116
saturday,117
april,118
2024,119
tel,120
calling,121
benjamin,122
icj,123
must,124
stop,125
rafah,126
operation,127
what’s,128
next,129
?,130
international,131
court,132
justice,133
halt,134
called,135
town,136
palestinian,137
fighters,138
accuses,139
groups,140
crimes,141
committed,142
hamas,143
conflict,144
grave,145
gaza’s,146
need,147
know,148
two,149
largest,150
hospitals,151
month,152
inside,153
week,154
met,155
investigation,156
uk,157
arms,158
sales,159
foreign,160
british,161
government,162
growing,163
weapons,164
supplies,165
continues,166
kingdom,167
matter,168
said,169
rockets,170
causing,171
first,172
months,173
army,174
eight,175
fired,176
targeting,177
central,178
including,179
time,180
several,181
german,182
alleged,183
human,184
rights,185
germany,186
criticism,187
assault,188
demonstrators,189
authorities,190
red,191
way,192
western,193
allies,194
major,195
consequences,196
tanks,197
centre,198
announced,199
land,200
along,201
border,202
hezbollah,203
fighting,204
support,205
thousands,206
people,207
head,208
lebanese,209
armed,210
group,211
northern,212
would,213
return,214
home,215
start,216
year,217
negotiations,218
even,219
secure,220
ramadan,221
left,222
egypt,223
mediators,224
muslim,225
holy,226
words,227
al,228
jazeera,229
looks,230
main,231
positions,232
policy,233
washington,234
dc,235
–,236
concerns,237
continuing,238
attacked,239
since,240
killing,241
tens,242
killed,243
safe,244
civilian,245
women,246
jazeera’s,247
reported,248
tuesday,249
attacks,250
least,251
spokesman,252
al-aqsa,253
three,254
times,255
dead,256
wounded,257
attack,258
sheltering,259
displaced,260
camp,261
according,262
local,263
speech,264
palestine,265
secretary,266
general,267
