Word,Index
tanks,0
push,1
khan,2
younis,3
israel,4
north,5
gaza,6
-,7
bbc,8
news,9
several,10
countries,11
joined,12
un,13
calling,14
investigation,15
deaths,16
100,17
palestinians,18
aid,19
delivery,20
.,21
least,22
112,23
people,24
killed,25
injured,26
thursday,27
crowded,28
around,29
lorries,30
hamas,31
accused,32
firing,33
civilians,34
",",35
said,36
died,37
crush,38
fired,39
warning,40
shots,41
uk,42
foreign,43
secretary,44
called,45
situation,46
"""",47
horrific,48
repeated,49
calls,50
sustained,51
pause,52
fighting,53
statement,54
friday,55
david,56
cameron,57
tragedy,58
could,59
separated,60
inadequate,61
supplies,62
described,63
unacceptable,64
must,65
urgent,66
accountability,67
happen,68
france,69
italy,70
germany,71
also,72
independent,73
convoy,74
french,75
president,76
emmanuel,77
macron,78
targeted,79
israeli,80
soldiers,81
general,82
antónio,83
guterres,84
wrote,85
social,86
media,87
:,88
condemn,89
thursday's,90
incident,91
reportedly,92
seeking,93
life-saving,94
desperate,95
need,96
help,97
including,98
able,99
deliver,100
week,101
gaza's,102
hamas-run,103
health,104
ministry,105
massacre,106
security,107
council,108
held,109
emergency,110
meeting,111
discuss,112
arab,113
representative,114
body,115
put,116
forward,117
blaming,118
forces,119
opening,120
fire,121
us,122
blocked,123
according,124
agency,125
citing,126
palestinian,127
ambassador,128
riyad,129
mansour,130
spoke,131
reporters,132
afterwards,133
envoy,134
robert,135
wood,136
facts,137
remained,138
unclear,139
took,140
place,141
shortly,142
(,143
gmt,144
),145
roundabout,146
edge,147
city,148
mohammed,149
stampede,150
arabic,151
saw,152
informed,153
shipment,154
flour,155
would,156
arrive,157
street,158
shooting,159
went,160
get,161
feed,162
children,163
trucks,164
arrived,165
gunfire,166
entered,167
headed,168
towards,169
tried,170
first,171
bag,172
truck,173
began,174
mr,175
carried,176
hospital,177
delayed,178
due,179
lack,180
electricity,181
khaled,182
wounded,183
surgery,184
fuel,185
crowd,186
ran,187
car,188
told,189
needed,190
operation,191
three,192
days,193
later,194
want,195
provide,196
treatment,197
30,198
carrying,199
egyptian,200
making,201
way,202
along,203
defense,204
idf,205
humanitarian,206
corridor,207
securing,208
chief,209
spokesman,210
rear,211
adm,212
daniel,213
hagari,214
surrounded,215
violently,216
pushing,217
even,218
gazans,219
death,220
looting,221
resulted,222
dozens,223
cautiously,224
disperse,225
pulled,226
back,227
hundreds,228
became,229
thousands,230
things,231
got,232
hand,233
another,234
lt,235
col,236
peter,237
lerner,238
approached,239
checkpoint,240
70,241
metres,242
feet,243
away,244
ignored,245
fearing,246
posed,247
threat,248
opened,249
approaching,250
limited,251
response,252
rejected,253
idf's,254
account,255
evidence,256
direct,257
citizens,258
aimed,259
immediate,260
killing,261
came,262
hours,263
announced,264
"30,000",265
"21,000",266
women,267
since,268
start,269
current,270
conflict,271
7,272
october,273
"7,000",274
missing,275
added,276
appalled,277
tragic,278
human,279
toll,280
reiterate,281
call,282
ceasefire,283
unconditional,284
release,285
hostages,286
executive,287
director,288
médecins,289
sans,290
frontières,291
doctors,292
without,293
borders,294
delivering,295
starving,296
population,297
adequate,298
risking,299
disaster,300
speaking,301
radio,302
4's,303
today,304
programme,305
know,306
convoys,307
last,308
weeks,309
unable,310
anything,311
eat,312
colleagues,313
they're,314
animal,315
food,316
go,317
end,318
sometimes,319
completely,320
minute,321
trying,322
region,323
sort,324
always,325
going,326
looming,327
famine,328
territory,329
estimated,330
"300,000",331
living,332
little,333
clean,334
water,335
military,336
launched,337
large-scale,338
air,339
ground,340
campaign,341
destroy,342
proscribed,343
terrorist,344
organisation,345
others,346
gunmen,347
"1,200",348
southern,349
253,350
',351
palestine,352
action,353
joe,354
biden,355
hopes,356
see,357
deal,358
israel-gaza,359
war,360
time,361
ramadan,362
muslim,363
holy,364
month,365
members,366
faith,367
fast,368
dawn,369
begin,370
10,371
11,372
march,373
asked,374
whether,375
expected,376
i'm,377
hoping,378
we're,379
still,380
working,381
real,382
hard,383
comes,384
amid,385
tense,386
negotiations,387
pressure,388
proposed,389
40-day,390
operations,391
well,392
increased,393
flow,394
source,395
close,396
talks,397
reuters,398
include,399
agreement,400
prisoners,401
exchange,402
one,403
exact,404
marked,405
crescent,406
vary,407
alleviate,408
crisis,409
intensified,410
crowds,411
rushed,412
following,413
plans,414
airdrop,415
saying,416
innocent,417
caught,418
terrible,419
families,420
united,421
states,422
quarter,423
currently,424
risk,425
figures,426
planned,427
drops,428
criticised,429
groups,430
insufficient,431
oxfam,432
support,433
airdrops,434
mostly,435
serve,436
guilty,437
senior,438
officials,439
whose,440
policies,441
ongoing,442
atrocities,443
charity,444
group,445
pushed,446
absolute,447
brink,448
dropping,449
symbolic,450
