Word,Index
',0
loved,1
lost,2
:,3
presents,4
new,5
music,6
restored,7
",",8
exciting,9
even,10
world,11
.,12
community,13
surprised,14
around,15
year,16
half,17
ago,18
score,19
came,20
light,21
2009,22
close,23
200,24
years,25
former,26
glory,27
unveiled,28
public,29
internationally,30
renowned,31
tomer,32
lev,33
work,34
local,35
israeli,36
(,37
),38
series,39
charles,40
tel,41
aviv,42
tonight,43
april,44
3,45
7,46
p.m,47
followed,48
two,49
4,50
6,51
8,52
9,53
respectively,54
closing,55
jerusalem,56
theme,57
fascinating,58
featured,59
program,60
also,61
includes,62
highly,63
poignant,64
2012,65
died,66
october,67
31,68
called,69
land,70
four,71
languages,72
full,73
polish,74
2013,75
major,76
perfect,77
marketing,78
regarding,79
performing,80
artists,81
set,82
hit,83
parade,84
time,85
original,86
studied,87
says,88
venture,89
get,90
ticket,91
offices,92
&,93
ldquo;the,94
based,95
rdquo,96
;,97
explains,98
question,99
riding,100
high,101
popularity,102
day,103
ldquo;it,104
quite,105
story,106
best,107
stage,108
career,109
england,110
country,111
led,112
offer,113
good,114
refuse,115
teacher,116
lived,117
london,118
german,119
jewish,120
origin,121
europe,122
great,123
recognized,124
societal,125
circles,126
ldquo;they,127
invited,128
key,129
performers,130
charity,131
event,132
royal,133
notes,134
organizers,135
sought,136
something,137
would,138
justice,139
occasion,140
audience,141
chose,142
proven,143
product,144
asked,145
run,146
nbsp,147
went,148
biggest,149
musical,150
performed,151
parts,152
highlight,153
prepare,154
one,155
numbers,156
march,157
written,158
production,159
everyone,160
early,161
century,162
musicians,163
frequently,164
allowed,165
straight,166
narrow,167
ground,168
excellent,169
played,170
like,171
session,172
take,173
comes,174
across,175
ldquo;you,176
playing,177
plays,178
line,179
switch,180
open,181
approach,182
rdquo;it,183
worked,184
well,185
amazing,186
success,187
remarks,188
noting,189
matter,190
"""",191
plan,192
second,193
busy,194
decided,195
turn,196
composition,197
added,198
hence,199
week&rsquo;s,200
exactly,201
presumably,202
response,203
efforts,204
must,205
hands,206
elsewhere,207
however,208
dramatic,209
concert,210
disappeared,211
forgotten,212
rdquo;there,213
drama,214
14,215
38,216
partner,217
box,218
office,219
make,220
sun,221
still,222
memory,223
triumph,224
tried,225
restore,226
easier,227
said,228
done,229
ldquo;in,230
fact,231
different,232
didn&rsquo;t,233
really,234
manage,235
say,236
certain,237
commercial,238
long,239
enough,240
discovered,241
places,242
proved,243
game,244
plenty,245
invested,246
could,247
become,248
practical,249
performance,250
precisely,251
counterparts,252
ndash,253
lior,254
past,255
berlin,256
couple,257
weeks,258
hall,259
york,260
international,261
began,262
birth,263
ldquo;there,264
many,265
things,266
paper,267
bad,268
state,269
took,270
experts,271
moscow,272
eventually,273
ends,274
got,275
wind,276
developments,277
chief,278
come,279
israel,280
give,281
talk,282
whole,283
process,284
much,285
quartet,286
surprise,287
lecturer,288
gave,289
determined,290
grace,291
respect,292
revive,293
interest,294
worldwide,295
date,296
filmed,297
recorded,298
recording,299
due,300
soon,301
ldquo;we,302
perform,303
proudly,304
play,305
able,306
circle,307
see,308
sort,309
bringing,310
back,311
surface,312
responded,313
far,314
standing,315
everywhere,316
surely,317
present,318
received,319
sounds,320
cultures,321
considered,322
core,323
yiddish,324
arabic,325
wrote,326
piece,327
works,328
six,329
eight,330
without,331
believes,332
particularly,333
halls,334
change,335
possibly,336
difference,337
regional,338
affairs,339
ldquo;when,340
started,341
saw,342
people,343
don&rsquo;t,344
know,345
israel&rsquo;s,346
wanted,347
reflect,348
face,349
ldquo;he,350
composed,351
traditional,352
message,353
live,354
together,355
maybe,356
learn,357
real,358
rdquo;the,359
thus,360
wake,361
feels,362
creation,363
taken,364
significance,365
passing,366
everything,367
months,368
value,369
relevant,370
ever,371
rdquo;for,372
tickets,373
information,374
https,375
/,376
www,377
bridge,378
news,379
spark,380
jordan,381
crisis,382
?,383
-,384
analysis,385
week,386
number,387
voices,388
linked,389
ruling,390
likud,391
party,392
claimed,393
links,394
temple,395
mount,396
area,397
near,398
western,399
wall,400
used,401
visit,402
danger,403
collapse,404
transportation,405
minister,406
mk,407
miri,408
regev,409
forbidden,410
wait,411
another,412
moment,413
demolition,414
construction,415
appropriate,416
concerns,417
month,418
report,419
constructed,420
enable,421
safe,422
use,423
raises,424
questions,425
previous,426
government,427
benjamin,428
netanyahu,429
replace,430
reinforce,431
recently,432
despite,433
decade,434
suddenly,435
potential,436
sensitive,437
holy,438
site,439
emerge,440
kingdom,441
working,442
repair,443
ties,444
changes,445
status,446
quo,447
attempts,448
met,449
protests,450
spreading,451
al-aqsa,452
kinds,453
conflict,454
including,455
recent,456
gaza,457
war,458
2011,459
temporary,460
structure,461
often,462
neighborhood,463
existed,464
closed,465
safety,466
reports,467
sunday,468
three,469
days,470
municipality,471
deadline,472
leading,473
city,474
engineer,475
shlomo,476
warned,477
letters,478
prime,479
heritage,480
foundation,481
let&rsquo;s,482
recall,483
happened,484
10,485
originally,486
november,487
28,488
destroy,489
stop,490
worried,491
riots,492
arab,493
letter,494
sent,495
last,496
insisted,497
entrance,498
built,499
cancel,500
egypt,501
december,502
12,503
issue,504
headlines,505
somehow,506
continued,507
exist,508
2014,509
emerged,510
part,511
less,512
officially,513
opened,514
ordered,515
dismantled,516
became,517
clear,518
project,519
approved,520
authorities,521
amid,522
mounting,523
jordanian,524
erected,525
collapsed,526
partially,527
2004,528
permanent,529
seen,530
threatening,531
peace,532
region,533
appears,534
order,535
maintain,536
calm,537
calls,538
remove,539
members,540
known,541
always,542
resulted,543
controversy,544
creating,545
block,546
jordan&rsquo;s,547
foreign,548
ayman,549
counterpart,550
times,551
deal,552
supply,553
water,554
naftali,555
bennett,556
importance,557
point,558
ran,559
dating,560
1990s,561
progress,562
plans,563
develop,564
valley,565
slammed,566
anniversary,567
agreement,568
countries,569
demanding,570
return,571
lands,572
2017,573
incident,574
security,575
guard,576
killed,577
canceled,578
short,579
trip,580
uae,581
eve,582
elections,583
apparently,584
addition,585
crown,586
prince,587
relations,588
lowest,589
accusing,590
iran,591
iraq,592
helps,593
context,594
rising,595
chances,596
likely,597
cause,598
anger,599
jews,600
weekly,601
mean,602
historic,603
mosque,604
dome,605
rock,606
lead,607
complaints,608
unless,609
coordination,610
doubt,611
needs,612
women&rsquo;s,613
section,614
never,615
addressed,616
convenient,617
made,618
want,619
demolished,620
changed,621
removed,622
place,623
problems,624
managed,625
call,626
postpone,627
addressing,628
issues,629
symbol,630
management,631
meant,632
dealing,633
gaza&rsquo;s,634
constant,635
crises,636
facing,637
bedouin,638
negev,639
ignoring,640
meron,641
disaster,642
investigating,643
current,644
wants,645
address,646
way,647
create,648
keen,649
whether,650
might,651
interested,652
usually,653
position,654
palestinians,655
king,656
meeting,657
us,658
president,659
july,660
19,661
perhaps,662
responsible,663
policies,664
‘,665
executions,666
pa,667
protection,668
palestinian,669
authority,670
accused,671
carrying,672
united,673
nations,674
provide,675
hamas,676
islamic,677
jihad,678
pij,679
meanwhile,680
step,681
ldquo;resistance&rdquo,682
killing,683
gunman,684
jenin,685
woman,686
stab,687
police,688
officers,689
old,690
thursday,691
village,692
soldiers,693
shot,694
22-year-old,695
member,696
al-quds,697
brigades,698
hours,699
later,700
mother,701
carry,702
stabbing,703
attack,704
plo,705
cold,706
blood,707
assume,708
responsibilities,709
toward,710
enforcement,711
humanitarian,712
laws,713
occupied,714
territories,715
ministry,716
condemned,717
strongest,718
terms,719
heinous,720
field,721
committed,722
occupation,723
forces,724
according,725
killings,726
direct,727
result,728
bennett&rsquo;s,729
speech,730
un,731
general,732
assembly,733
earlier,734
ldquo;an,735
extension,736
criminal,737
execution,738
orders,739
issued,740
political,741
military,742
echelon,743
occupying,744
facilitate,745
shooting,746
statement,747
settler,748
assaults,749
hebron,750
claiming,751
carried,752
idf,753
holds,754
headed,755
fully,756
directly,757
crimes,758
serious,759
repercussions,760
situation,761
entire,762
read,763
urging,764
commissioner,765
human,766
rights,767
establish,768
investigation,769
committee,770
ldquo;for,771
violations,772
prisoners,773
club,774
revealed,775
arrested,776
54,777
since,778
beginning,779
september,780
escape,781
gilboa,782
prison,783
imposing,784
policy,785
families,786
escaped,787
inmates,788
death,789
pledged,790
pursue,791
fight,792
increased,793
violence,794
west,795
bank,796
authentic,797
expression,798
accept,799
surrender,800
whose,801
resolve,802
responding,803
armed,804
resistance,805
comprehensive,806
confrontation,807
capable,808
stopping,809
aggression,810
settlers,811
journey,812
mark,813
remembrance,814
"5,000",815
attendees,816
leader,817
global,818
commemorate,819
ceremony,820
yad,821
expected,822
bring,823
countless,824
viewers,825
making,826
largest,827
kind,828
dedicated,829
honoring,830
fallen,831
victims,832
terror,833
year&rsquo;s,834
particular,835
amidst,836
profound,837
grief,838
shock,839
following,840
massacre,841
ongoing,842
concerning,843
surge,844
antisemitism,845
aims,846
serve,847
powerful,848
reminder,849
mourning,850
resilience,851
needed,852
rebuild,853
hope,854
stories,855
sacrifice,856
shared,857
highlighting,858
alumni,859
omer,860
soldier,861
nahal,862
brigade,863
northern,864
border,865
hezbollah,866
fire,867
rose,868
officer,869
east,870
fought,871
defended,872
kibbutz,873
father,874
eyal,875
prayer,876
behalf,877
bereaved,878
france,879
torch,880
participation,881
representatives,882
knesset,883
pay,884
tribute,885
dr,886
