Word,Index
call,0
gaza,1
ceasefire,2
",",3
release,4
captive,5
address,6
say,7
go,8
facing,9
war,10
child,11
‘,12
’,13
.,14
ha,15
immediate,16
israeli,17
marking,18
sunday,19
day,20
biden,21
still,22
u,23
president,24
israel,25
could,26
resolution,27
administration,28
allowed,29
un,30
security,31
council,32
united,33
state,34
order,35
prime,36
minister,37
begin,38
put,39
end,40
“,41
”,42
lebanon,43
political,44
invasion,45
air,46
strike,47
continue,48
across,49
truce,50
talk,51
kill,52
palestinians,53
pm,54
netanyahu,55
face,56
pressure,57
side,58
proposal,59
military,60
launched,61
strip,62
deadly,63
official,64
latest,65
deal,66
hostility,67
exchange,68
prisoner,69
police,70
pro-palestinian,71
student,72
university,73
students,74
hunger,75
leave,76
campus,77
without,78
entered,79
(,80
),81
activist,82
occupied,83
building,84
protest,85
mass,86
graf,87
found,88
southern,89
hospital,90
force,91
team,92
hundred,93
body,94
ground,95
medical,96
complex,97
city,98
khan,99
younis,100
wa,101
recent,102
area,103
nan,104
:,105
list,106
key,107
event,108
nations,109
chief,110
campaign,111
relentless,112
death,113
destruction,114
thing,115
stand,116
saturday,117
april,118
2024,119
road,120
calling,121
benjamin,122
one,123
icj,124
must,125
stop,126
rafah,127
operation,128
next,129
?,130
international,131
court,132
justice,133
halt,134
called,135
town,136
palestinian,137
fighter,138
accuses,139
group,140
crime,141
committed,142
hamas,143
conflict,144
grave,145
need,146
know,147
two,148
largest,149
siege,150
month,151
inside,152
week,153
met,154
nation,155
investigation,156
uk,157
arm,158
foreign,159
british,160
government,161
growing,162
weapon,163
supply,164
continues,165
kingdom,166
matter,167
said,168
fire,169
first,170
army,171
eight,172
fired,173
targeting,174
central,175
including,176
time,177
several,178
german,179
alleged,180
human,181
right,182
germany,183
criticism,184
assault,185
demonstrator,186
authority,187
red,188
way,189
western,190
ally,191
consequence,192
tank,193
centre,194
announced,195
along,196
egypt,197
border,198
hezbollah,199
keep,200
fighting,201
press,202
support,203
thousand,204
people,205
lebanese,206
armed,207
northern,208
would,209
return,210
home,211
start,212
school,213
year,214
negotiation,215
even,216
secure,217
ramadan,218
left,219
mediator,220
attempt,221
muslim,222
holy,223
word,224
al,225
jazeera,226
look,227
washington,228
main,229
position,230
policy,231
dc,232
–,233
concern,234
continuing,235
attacked,236
since,237
killing,238
ten,239
killed,240
safe,241
civilian,242
woman,243
girl,244
reported,245
tuesday,246
attack,247
least,248
spokesman,249
al-aqsa,250
three,251
dead,252
wounded,253
sheltering,254
displaced,255
camp,256
according,257
local,258
speech,259
palestine,260
secretary,261
general,262
antonio,263
guterres,264
six,265
nothing,266
taking,267
place,268
monday,269
al-shifa,270
second,271
beit,272
set,273
