Word,Index
tank,0
push,1
khan,2
younis,3
israel,4
north,5
gaza,6
-,7
bbc,8
news,9
several,10
country,11
joined,12
un,13
calling,14
investigation,15
death,16
100,17
palestinian,18
aid,19
delivery,20
.,21
least,22
112,23
people,24
killed,25
injured,26
thursday,27
crowded,28
around,29
lorry,30
hamas,31
accused,32
firing,33
civilian,34
",",35
said,36
died,37
crush,38
fired,39
warning,40
shot,41
uk,42
foreign,43
secretary,44
called,45
situation,46
``,47
horrific,48
repeated,49
call,50
sustained,51
pause,52
fighting,53
statement,54
friday,55
david,56
cameron,57
tragedy,58
could,59
separated,60
inadequate,61
supply,62
described,63
unacceptable,64
must,65
urgent,66
accountability,67
happen,68
france,69
italy,70
germany,71
also,72
independent,73
convoy,74
french,75
president,76
emmanuel,77
macron,78
targeted,79
israeli,80
soldier,81
general,82
antónio,83
guterres,84
wrote,85
social,86
medium,87
:,88
condemn,89
's,90
incident,91
reportedly,92
seeking,93
life-saving,94
desperate,95
need,96
help,97
including,98
ha,99
able,100
deliver,101
week,102
hamas-run,103
health,104
ministry,105
massacre,106
security,107
council,108
held,109
emergency,110
meeting,111
discus,112
arab,113
representative,114
body,115
put,116
forward,117
blaming,118
force,119
opening,120
fire,121
u,122
blocked,123
according,124
agency,125
citing,126
ambassador,127
riyad,128
mansour,129
spoke,130
reporter,131
afterwards,132
envoy,133
robert,134
fact,135
remained,136
unclear,137
took,138
place,139
shortly,140
(,141
gmt,142
),143
roundabout,144
edge,145
city,146
mohammed,147
wa,148
stampede,149
arabic,150
saw,151
informed,152
shipment,153
flour,154
would,155
arrive,156
street,157
shooting,158
went,159
get,160
feed,161
child,162
truck,163
arrived,164
gunfire,165
entered,166
headed,167
towards,168
tried,169
first,170
bag,171
began,172
mr,173
carried,174
hospital,175
delayed,176
due,177
lack,178
electricity,179
khaled,180
wounded,181
surgery,182
fuel,183
crowd,184
ran,185
car,186
told,187
needed,188
operation,189
three,190
day,191
later,192
want,193
provide,194
treatment,195
30,196
carrying,197
egyptian,198
making,199
way,200
along,201
defense,202
idf,203
humanitarian,204
corridor,205
securing,206
chief,207
spokesman,208
rear,209
adm,210
daniel,211
hagari,212
surrounded,213
pushing,214
even,215
gazans,216
looting,217
resulted,218
dozen,219
cautiously,220
disperse,221
pulled,222
back,223
hundred,224
became,225
thousand,226
thing,227
got,228
hand,229
another,230
lt,231
col,232
peter,233
lerner,234
approached,235
checkpoint,236
70,237
metre,238
foot,239
away,240
ignored,241
posed,242
threat,243
opened,244
approaching,245
limited,246
response,247
rejected,248
account,249
evidence,250
direct,251
citizen,252
aimed,253
immediate,254
killing,255
came,256
hour,257
announced,258
"30,000",259
"21,000",260
woman,261
since,262
start,263
current,264
conflict,265
7,266
october,267
"7,000",268
missing,269
added,270
appalled,271
tragic,272
human,273
toll,274
reiterate,275
ceasefire,276
unconditional,277
release,278
hostage,279
executive,280
director,281
médecins,282
sans,283
frontières,284
doctor,285
without,286
border,287
delivering,288
starving,289
population,290
adequate,291
disaster,292
speaking,293
radio,294
4,295
today,296
programme,297
know,298
last,299
unable,300
anything,301
eat,302
colleague,303
're,304
animal,305
food,306
go,307
end,308
sometimes,309
completely,310
minute,311
trying,312
region,313
sort,314
always,315
going,316
looming,317
famine,318
territory,319
estimated,320
"300,000",321
living,322
little,323
clean,324
water,325
military,326
launched,327
large-scale,328
air,329
ground,330
campaign,331
destroy,332
proscribed,333
terrorist,334
organisation,335
others,336
gunman,337
"1,200",338
southern,339
253,340
',341
palestine,342
action,343
