Word,Index
',0
loved,1
lost,2
:,3
present,4
new,5
music,6
restored,7
",",8
exciting,9
even,10
world,11
.,12
community,13
wa,14
surprised,15
around,16
year,17
half,18
ago,19
score,20
came,21
light,22
2009,23
close,24
200,25
former,26
public,27
internationally,28
renowned,29
tomer,30
lev,31
work,32
local,33
audience,34
israeli,35
(,36
),37
series,38
kick,39
tel,40
aviv,41
tonight,42
april,43
3,44
7,45
p.m,46
followed,47
two,48
concert,49
4,50
6,51
8,52
9,53
respectively,54
closing,55
jerusalem,56
theme,57
ha,58
fascinating,59
featured,60
program,61
also,62
includes,63
highly,64
poignant,65
2012,66
died,67
october,68
31,69
called,70
land,71
four,72
full,73
polish,74
2013,75
&,76
rsquo,77
;,78
major,79
perfect,80
marketing,81
regarding,82
performing,83
artist,84
set,85
hit,86
parade,87
time,88
original,89
studied,90
say,91
get,92
ticket,93
office,94
ldquo,95
based,96
rdquo,97
explains,98
question,99
riding,100
high,101
popularity,102
stake,103
day,104
quite,105
story,106
best,107
stage,108
career,109
england,110
country,111
led,112
offer,113
good,114
refuse,115
teacher,116
lived,117
london,118
german,119
jewish,120
origin,121
europe,122
great,123
recognized,124
circle,125
invited,126
key,127
performer,128
charity,129
event,130
royal,131
note,132
organizer,133
sought,134
something,135
would,136
justice,137
occasion,138
chose,139
proven,140
product,141
asked,142
run,143
nbsp,144
went,145
biggest,146
musical,147
performed,148
part,149
's,150
highlight,151
prepare,152
one,153
number,154
march,155
written,156
theater,157
production,158
everyone,159
back,160
early,161
century,162
musician,163
frequently,164
allowed,165
straight,166
narrow,167
ground,168
excellent,169
played,170
like,171
session,172
take,173
come,174
across,175
playing,176
play,177
line,178
open,179
approach,180
worked,181
well,182
amazing,183
success,184
remark,185
noting,186
matter,187
``,188
plan,189
second,190
busy,191
decided,192
turn,193
composition,194
added,195
week,196
exactly,197
response,198
effort,199
must,200
hand,201
elsewhere,202
however,203
dramatic,204
lsquo,205
shortly,206
disappeared,207
forgotten,208
drama,209
14,210
38,211
partner,212
box,213
make,214
still,215
memory,216
triumph,217
tried,218
restore,219
easier,220
said,221
done,222
fact,223
different,224
really,225
manage,226
nevertheless,227
certain,228
commercial,229
quarter,230
hang,231
long,232
enough,233
suddenly,234
discovered,235
archive,236
place,237
proved,238
game,239
plenty,240
invested,241
could,242
become,243
practical,244
performance,245
precisely,246
counterpart,247
ndash,248
lior,249
past,250
berlin,251
couple,252
hall,253
york,254
international,255
began,256
birth,257
many,258
thing,259
page,260
paper,261
bad,262
state,263
took,264
expert,265
moscow,266
eventually,267
end,268
got,269
wind,270
development,271
chief,272
israel,273
give,274
talk,275
whole,276
process,277
much,278
quartet,279
leader,280
surprise,281
lecturer,282
gave,283
determined,284
grace,285
respect,286
revive,287
interest,288
worldwide,289
date,290
filmed,291
recorded,292
recording,293
due,294
soon,295
perform,296
able,297
see,298
sort,299
bringing,300
surface,301
responded,302
far,303
standing,304
everywhere,305
received,306
sound,307
culture,308
considered,309
core,310
mdash,311
hebrew,312
arabic,313
wrote,314
piece,315
six,316
eight,317
without,318
belief,319
particularly,320
change,321
possibly,322
difference,323
regional,324
affair,325
started,326
saw,327
people,328
know,329
wanted,330
reflect,331
face,332
traditional,333
language,334
message,335
live,336
together,337
maybe,338
learn,339
real,340
thus,341
wake,342
feel,343
creation,344
taken,345
significance,346
passing,347
everything,348
month,349
value,350
relevant,351
ever,352
information,353
http,354
/,355
www,356
’,357
bridge,358
news,359
spark,360
jordan,361
crisis,362
?,363
-,364
analysis,365
voice,366
linked,367
ruling,368
likud,369
party,370
claimed,371
link,372
temple,373
mount,374
area,375
near,376
western,377
wall,378
used,379
visit,380
danger,381
collapse,382
transportation,383
minister,384
mk,385
regev,386
forbidden,387
wait,388
another,389
moment,390
demolition,391
construction,392
appropriate,393
concern,394
engineer,395
report,396
constructed,397
doe,398
enable,399
safe,400
use,401
raise,402
previous,403
government,404
benjamin,405
netanyahu,406
replace,407
recently,408
despite,409
decade,410
potential,411
sensitive,412
holy,413
site,414
emerge,415
kingdom,416
working,417
repair,418
tie,419
status,420
quo,421
attempt,422
met,423
protest,424
conspiracy,425
spreading,426
al-aqsa,427
kind,428
conflict,429
including,430
recent,431
gaza,432
war,433
2011,434
temporary,435
structure,436
often,437
neighborhood,438
existed,439
closed,440
safety,441
official,442
sunday,443
three,444
municipality,445
deadline,446
leading,447
city,448
shlomo,449
warned,450
letter,451
prime,452
heritage,453
foundation,454
let,455
recall,456
happened,457
10,458
originally,459
november,460
28,461
destroy,462
stop,463
worried,464
riot,465
arab,466
sent,467
last,468
insisted,469
entrance,470
built,471
cancel,472
egypt,473
december,474
12,475
issue,476
headline,477
somehow,478
continued,479
exist,480
2014,481
emerged,482
erected,483
less,484
officially,485
opened,486
ordered,487
became,488
clear,489
project,490
approved,491
authority,492
amid,493
mounting,494
jordanian,495
partially,496
2004,497
permanent,498
seen,499
threatening,500
peace,501
region,502
appears,503
order,504
maintain,505
calm,506
call,507
remove,508
member,509
known,510
always,511
resulted,512
controversy,513
creating,514
block,515
foreign,516
ayman,517
times,518
deal,519
supply,520
water,521
naftali,522
bennett,523
importance,524
point,525
ran,526
dating,527
1990s,528
progress,529
develop,530
valley,531
slammed,532
anniversary,533
agreement,534
demanding,535
return,536
2017,537
incident,538
security,539
guard,540
killed,541
canceled,542
short,543
trip,544
uae,545
eve,546
election,547
apparently,548
addition,549
prince,550
lowest,551
accusing,552
iran,553
iraq,554
help,555
context,556
rising,557
chance,558
likely,559
cause,560
anger,561
jews,562
weekly,563
mean,564
historic,565
mosque,566
dome,567
rock,568
lead,569
complaint,570
unless,571
coordination,572
doubt,573
need,574
stretch,575
woman,576
section,577
never,578
addressed,579
convenient,580
made,581
want,582
demolished,583
changed,584
removed,585
problem,586
managed,587
postpone,588
addressing,589
symbol,590
management,591
meant,592
dealing,593
constant,594
facing,595
bedouin,596
negev,597
ignoring,598
meron,599
disaster,600
investigating,601
current,602
address,603
way,604
create,605
keen,606
whether,607
might,608
interested,609
usually,610
position,611
palestinians,612
king,613
meeting,614
us,615
president,616
july,617
19,618
perhaps,619
responsible,620
policy,621
‘,622
execution,623
pa,624
protection,625
palestinian,626
accused,627
carrying,628
united,629
nations,630
provide,631
hamas,632
islamic,633
jihad,634
pij,635
meanwhile,636
step,637
resistance,638
killing,639
gunman,640
jenin,641
police,642
officer,643
old,644
thursday,645
village,646
soldier,647
shot,648
al-quds,649
brigades,650
hours,651
later,652
mother,653
carry,654
stabbing,655
attack,656
plo,657
cold,658
blood,659
assume,660
responsibility,661
toward,662
enforcement,663
humanitarian,664
law,665
occupied,666
territory,667
ministry,668
condemned,669
strongest,670
term,671
heinous,672
field,673
committed,674
occupation,675
force,676
according,677
direct,678
result,679
speech,680
un,681
general,682
assembly,683
earlier,684
extension,685
criminal,686
issued,687
political,688
military,689
echelon,690
occupying,691
facilitate,692
shooting,693
statement,694
settler,695
assault,696
hebron,697
claiming,698
carried,699
idf,700
hold,701
headed,702
fully,703
directly,704
crime,705
serious,706
repercussion,707
situation,708
entire,709
read,710
urging,711
commissioner,712
human,713
rights,714
establish,715
investigation,716
committee,717
violation,718
club,719
revealed,720
arrested,721
54,722
since,723
beginning,724
september,725
escape,726
prisoner,727
gilboa,728
prison,729
imposing,730
collective,731
punishment,732
family,733
escaped,734
inmate,735
death,736
pledged,737
pursue,738
fight,739
increased,740
violence,741
west,742
bank,743
expression,744
accept,745
surrender,746
whose,747
resolve,748
responding,749
armed,750
comprehensive,751
confrontation,752
capable,753
stopping,754
aggression,755
journey,756
mark,757
remembrance,758
attendee,759
global,760
commemorate,761
ceremony,762
yad,763
l,764
expected,765
bring,766
countless,767
viewer,768
making,769
largest,770
dedicated,771
fallen,772
victim,773
terror,774
particular,775
profound,776
grief,777
shock,778
following,779
massacre,780
ongoing,781
concerning,782
antisemitism,783
aim,784
serve,785
powerful,786
reminder,787
mourning,788
resilience,789
needed,790
rebuild,791
hope,792
sacrifice,793
shared,794
highlighting,795
omer,796
nahal,797
brigade,798
northern,799
border,800
hezbollah,801
fire,802
rose,803
east,804
fought,805
defended,806
kibbutz,807
father,808
eyal,809
prayer,810
behalf,811
bereaved,812
france,813
torch,814
participation,815
representative,816
knesset,817
pay,818
tribute,819
dr,820
daniel,821
levy,822
lucy,823
rina,824
'',825
center,826
additionally,827
mass,828
hostage,829
russia,830
remains,831
captive,832
kidnapped,833
nova,834
festival,835
among,836
distinguished,837
guest,838
strategic,839
affairs,840
ron,841
cabinet,842
secretary,843
yossi,844
alongside,845
prominent,846
chairman,847
agency,848
almog,849
acting,850
ceo,851
yael,852
senior,853
amp,854
director,855
broadcast,856
post,857
website,858
wherever,859
emphasized,860
essential,861
u,862
focus,863
hero,864
left,865
behind,866
try,867
may,868
remember,869
battle,870
pain,871
gratitude,872
founded,873
provided,874
young,875
60,876
long-term,877
educational,878
experience,879
society,880
politics,881
history,882
protester,883
gather,884
calling,885
thousands,886
gathered,887
dozen,888
location,889
saturday,890
night,891
hour,892
rescue,893
noa,894
meir,895
shlomi,896
ziv,897
broke,898
turned,899
beersheba,900
ra,901
haifa,902
alone,903
ten,904
thousand,905
attended,906
ended,907
late,908
several,909
hundred,910
violated,911
engaged,912
clash,913
arrest,914
33,915
